tweet_id,customer_message,response_text,brand
133506,When I placed the order my account went on hold .,You should've received an email from the specialist team with information about your account. Please respond to the mail.,AmazonHelp
143300,"Now expected Nov 8 - Nov 10 We’re sorry your package is late. If it hasn’t arrived by Saturday, Nov 11, please come back for more options.",I am so sorry about the delay! Please allow the time provided for the package to be deliver.,AmazonHelp
153040,Oui le 22. Mais je vois sur le suivi que le colis n'est tjrs pas chez le transporteur.,"Je vous prie de patienter. Si toutefois, à cette date, vous n'avez toujours pas reçu votre colis, veuillez le signaler à notre SAV afin qu'ils puissent vous proposer une solution.",AmazonHelp
142983,Das werde ich veranlassen. Das ist auch erst seit kurzem so.,Die Kollegen können die Beschwerde entsprechend weitergeben - vielen Dank! Gruß,AmazonHelp
128027,Pone que es vendido por Amazon,"Gracias por la información, y ¿el pedido ya fue realizado? -Kevin S.",AmazonHelp
146839,I am sorry but I would like to receive a phone call & have this matter resolved asap! I have phoned 5 times now & every time I get nothing. I am £90 down on an error on your part. This has been going on for almost 3 weeks now & it’s time for you to actually do something.,We will be happy to help! Please provide your details here: https://t.co/ttvk5T2h2l,AmazonHelp
150293,"In the future, if a customer calls with concerns about fraudulent charges, they should be transferred to somebody with knowledge about fraud. I was transferred to somebody in technical support who advised me poorly, said that digital goods can't be reversed through Amazon.",Sorry to hear this. Have you made them aware these transactions were not authorized by you. Has an account specialist been in contact with you via email concerning this mishap ?,AmazonHelp
151251,"Ciao, Ho amazon prime account ma in prime video vedo solo tv serie e non movies",Da quale dispositivo stai accedendo? Non vedi proprio la sezione film oppure quando cerchi di avviare un film non parte?,AmazonHelp
131333,Is this a joke? You sent me to the same exact page.,"Try this. Step 1, choose ""Prime or Something else"" (nothing below it). Then step 2 select More non-order questions > Other.",AmazonHelp
102761,"I just get this in that link, no mention of trial [URL]","Here's the link, Asa. Please keep in mind that it is for new subscribers only: https://t.co/MHN9Bi48c3 Please let us know if we can further assist.",AmazonHelp
147463,I have send the details and I vl send u the screen shot of that message.. [URL],Apologies for the trouble. Request for one last time to share the details here: https://t.co/GIJyeYqKE0 and we will get back soon with an update.,AmazonHelp
124477,Wird mir nix anderes übrig bleiben…,"Du könntest noch bei einem Nachbarn fragen, oder morgen lange genug ausschlafen, dass du keinen Kaffee brauchst ;)",AmazonHelp
149208,A ma connaissance votre service client ce sont les gens charmants qui rigolent au téléphone et raccrochent au nez donc je ne sais pas si on peut parler de prise en charge,"Afin que je puisse vérifier votre dossier, veuillez remplir ce formulaire depuis un PC : https://t.co/HtUowg2UGX",AmazonHelp
134564,Es que no suelo ver TV... 😬😅,Eso es bueno. ¿Qué libro estás leyendo en estos momentos? A nosotros nos encantan los de Stephen King. ¡Es el mejor! 😍🤡🎈,AmazonHelp
117239,No reason given.,"Apologies, is there more info available in the tracking: https://t.co/Y5jpI9gRhE? Is the order fulfilled by Amazon or a 3rd Party Seller?",AmazonHelp
144203,"What do you mean anymore ? So three times is ok but four isn’t, I tweeted last time too","As mentioned, there could be a few different reasons why it was returned to sender. Items being damaged in transit is very rare. I'm sorry for any issues. Please keep us informed about your next delivery.",AmazonHelp
129871,This has still not been resolved and another week has passed. This is not good enough. Should I send amazon the bill for the money lose?,"Hi Damian- We have your info and we are investigating, if you would like an update please reply to the email you received.",AmazonHelp
157629,Check dm/inbox,We have to responded to your query in DM. Please check and do the needful.,AmazonHelp
138938,"Absolutely. Very rude and unhelpful CSRs in chat and on the phone. Very indignant, no empathy, no nothing! probably would flip.",You can leave feedback in the survey sent to you after you contacted us. Leadership will be able to review your experience.,AmazonHelp
101072,I'm not sure where it is. I'm still waiting for it so i can return it because I don't need it anymore,What does the tracking info state? You can find that here: https://t.co/Y5jpI9gRhE,AmazonHelp
151435,Thanks! Got the package at 1.30 :D,"That's great, Daniel! Thanks for updating us! Have a great weekend!",AmazonHelp
144206,"I have but checked and only other reason than address is damaged which if the case three times is a worry, I would suggest Amazon make it clear on tracker why it is sent back this will help the customer and save time",This is not the kind of experience you should expect from Amazon. Any further issues with deliveries please let us know,AmazonHelp
117567,I’m lucky to have any items!! The box was completely open and unsecure! Is this what my prime membership pays for??,I'm sorry for the trouble! Can you please confirm who the carrier was for your delivery?,AmazonHelp
157180,Yes I do have prime account already neither I renewed it nor added any new services to this. Despite of that my card was charged without my consent,"Please reach out to us here: https://t.co/JzP7hlA23B via phone or chat so we can look into this with you. We don't have access to accounts here, but would like to help!",AmazonHelp
107982,Pero que lo ha dejado ahí en el suelo sin haber firmado nadie la recepción. Lo ha dejado ahí el operario. Es de traca,Comprendo tu molestia y me apena lo sucedido. Por favor reporta la situación aquí: https://t.co/OjvUxwnzPe.,AmazonHelp
156787,Amz us is carrier [URL],"Thanks for that information, Andrew! I'd like for a member of my team to look into this personally. When you have a chance, please leave your details here: https://t.co/5BCPE9LPPA",AmazonHelp
134726,It wasn’t delivered yesterday either. I want a refund,Sorry to know about the delay with the order. Please share your details here: https://t.co/GIJyeYqKE0 and I'll check this.,AmazonHelp
152903,"No, just the two products totally 84.98.",You may be seeing an authorization charge from your bank as we only charge for any item when it's preparing for dispatch. Can I ask for you to reach out to your bank regarding this and I have also left some info on this for you below:https://t.co/uxw4SWTiwx.,AmazonHelp
126977,"Et voilà, on a commandé l'amiibo ! Et on s'est fait un petit plaisir en commandant les deux autres de la collection 😎, on a hâte !",Oh 🤗 Très ravie .La livraison est prévue pour quand ?,AmazonHelp
120518,and still I am waiting for something to happen. This is Pathetic from you guys.,You must have received a correspondence from our team. Kindly check the same here: https://t.co/ubzNHWZvL2,AmazonHelp
124572,I have replied through that but got tha e same old copy paste reply of waiting for 48 hours. It's been more than 4 days since then,"Gaurav, if you've responded, our team will get back to you shortly. Your patience is appreciated.",AmazonHelp
125292,I can't use that form. The order has been cancelled and doesn't appear as a selection in the 'Contact Us' form.,You'll still be able to use the form if you choose the most relevant options.,AmazonHelp
151836,"I did receive it but the point is, they should knock on the door if they are standing in front of it and they should care a lot more about their customers. You and me !",I'm so sorry you had this experiance. Let's talk about this in real time. Please call or chat with us here: https://t.co/YKEy4arm1r,AmazonHelp
157802,Que lo sentían mucho. Metieron las quejas y en la segunda queja un descuento de 7 euros y jurarme y perjurarme que este nuevo pedido vendría ipsofacto,"Comprendo Mario y gracias por el dato, en este caso, si no lo recibes hoy, lo mejor sería consultar nuevamente con Servicio al Cliente ya que nosotros no tenemos acceso a tu cuenta. Si gustas, puedes usar este enlace: https://t.co/OjvUxwnzPe",AmazonHelp
155379,It was fulfilled by Amazon.the 7th person she has spoken with has now agreed a refund and agreed it can’t be returned however it was very hard to understand her. Really dissapointing service. Both prime customers.second mess up in two weeks for us,"I'm glad a solution was finally reached, but incredibly sorry it took so much time and effort for her. Please do respond to the surveys sent so their assistance can be evaluated for improvement.",AmazonHelp
113297,Yes I checked that but I want someone to call me. I don't want to play this mail mail thing. What about my other products?,"We have already received your details, we will get back to you soon.",AmazonHelp
103120,so how can i know that you announced the result,"An email will be sent to all the winners of the contest by our marketing team, once they are announced.",AmazonHelp
144720,Non potete GARANTIRE una consegna in 24 ore e poi trasformarala in 4 gg lavorativi. Siete scorretti. E non è la prima volta!,L'articolo era venduto e spedito da Amazon?,AmazonHelp
116264,Hi Please update on the service ststus,"Could you confirm if you've filled in your details using the link provided earlier? If yes, you must've received a response here: https://t.co/8DAc10S7ww, kindly check. You may reply to the same for further assistance. Appreciate your patience.",AmazonHelp
132749,I would like an email address for escalation,"I'd like to personally help you. Kindly fill in your details here: https://t.co/GIJyeYqKE0, and I'll look into it.",AmazonHelp
101580,Tranquilos. De momento no hay señal de alarma. El retraso era dentro de lo aceptable.,"Lo entendemos Don Ricardo, mantennos al tanto de la entrega de tu pedido. ¡Saludos!",AmazonHelp
156126,"No, I wasn’t given a new delivery date or refund or replacement copy. My track my package section, shows this [URL]",Strange. Please reach out to us here: https://t.co/JzP7hlA23B and we can look into this further.,AmazonHelp
154050,"Original number called (the one full of ads) was 1-800-280-4331. At the end of the call it says to call 1-800-712-6600 for CS. Asks for last name and city/state, then mis-attributes identity to someone else with no way to correct it.","Thanks for the additional information. We are here to help! Without account details, could you tell us a little more about your issue?",AmazonHelp
